time,gfx,gFy,gFz,wx,wy,wz,I,mode
1.72,0.743255615234375,3.6891937255859375,5.01708984375,-0.0742340087890625,0.0337371826171875,-0.099456787109375,73.20361328125,texting
1.74,0.57080078125,3.8644866943359375,4.6445465087890625,-0.0742340087890625,0.0337371826171875,-0.099456787109375,73.20361328125,texting
1.76,0.58978271484375,4.07257080078125,4.8264923095703125,0.5005950927734375,0.0370025634765625,-0.1165008544921875,51.600341796875,texting
1.78,0.6019134521484375,4.187286376953125,4.996551513671875,0.5005950927734375,0.0370025634765625,-0.1165008544921875,51.600341796875,texting
1.8,0.42242431640625,4.308319091796875,5.208709716796875,0.5005950927734375,0.0370025634765625,-0.1165008544921875,51.600341796875,texting
1.82,0.334442138671875,4.662261962890625,5.833343505859375,0.5005950927734375,0.0370025634765625,-0.1165008544921875,51.600341796875,texting
1.84,0.4547119140625,4.8956756591796875,6.1203765869140625,0.5005950927734375,0.0370025634765625,-0.1165008544921875,50,texting
1.86,0.300933837890625,5.1635894775390625,6.226226806640625,0.5005950927734375,0.0370025634765625,-0.1165008544921875,50,texting
1.8800000000000001,0.231170654296875,5.5471954345703125,6.35595703125,0.5005950927734375,0.0370025634765625,-0.1165008544921875,50,texting
1.9000000000000001,0.2320556640625,5.8515777587890625,6.8424224853515625,0.5005950927734375,0.0370025634765625,-0.1165008544921875,50,texting
1.92,0.0838470458984375,6.0291595458984375,7.3019256591796875,0.5005950927734375,0.0370025634765625,-0.1165008544921875,50,texting
1.94,0.0855865478515625,6.1498565673828125,7.9375457763671875,-0.0736846923828125,0.1768798828125,-0.034637451171875,116.13456726074219,texting
1.96,0.4203643798828125,6.2917022705078125,8.943817138671875,-0.0736846923828125,0.1768798828125,-0.034637451171875,116.13456726074219,texting
1.98,0.0592041015625,6.7432708740234375,9.558120727539062,-0.0736846923828125,0.1768798828125,-0.034637451171875,116.13456726074219,texting
0,-0.7037811279296875,5.15545654296875,8.529830932617188,-0.0736846923828125,0.1768798828125,-0.034637451171875,237.140869140625,texting
0.02,-1.5767364501953125,5.47808837890625,8.410018920898438,-0.5158538818359375,0.2332305908203125,0.2791748046875,237.140869140625,texting
0.04,-1.5193328857421875,5.134613037109375,8.0467529296875,-0.5158538818359375,0.2332305908203125,0.2791748046875,237.140869140625,texting
0.06,-0.9572906494140625,4.7169189453125,6.8640899658203125,-0.5158538818359375,0.2332305908203125,0.2791748046875,237.140869140625,texting
0.08,-0.556732177734375,4.460906982421875,5.5090789794921875,-0.5158538818359375,0.2332305908203125,0.2791748046875,256.2767333984375,texting
